review,hotel#general,hotel#prices,hotel#design&features,hotel#cleanliness,hotel#comfort,hotel#quality,hotel#miscellaneous,rooms#general,rooms#prices,rooms#design&features,rooms#cleanliness,rooms#comfort,rooms#quality,rooms#miscellaneous,room_amenities#general,room_amenities#prices,room_amenities#design&features,room_amenities#cleanliness,room_amenities#comfort,room_amenities#quality,room_amenities#miscellaneous,facilities#general,facilities#prices,facilities#design&features,facilities#cleanliness,facilities#comfort,facilities#quality,facilities#miscellaneous,service#general,location#general,food&drinks#prices,food&drinks#quality,food&drinks#style&options,food&drinks#miscellaneous
"Những lúc tâm trạng không vui, đi uống 1 ly cocktails sẽ là lựa chọn không tồi. Thanks Mr Long bartender đã làm cho tôi 1 ly nước có thể lấy lại được tinh thần nè ❤❤❤. Các bạn nhân viên Rbar Mr Sơn, Ms Linh, Ms Hân rất thân thiện và nhiệt tình luôn. Có dịp tôi sẽ quay lại ❤❤❤❤❤❤",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Cảm ơn đội ngũ nhân viên Residence Club mang lại cho gia đình tôi những trải nghiệm tốt nhất, đặc biệt là Vân, Duy, Việt Anh, Diệu Vy, Hân. Phục vụ tận tình, món ăn ngon và đồ uống rất tuyệt. Gia đình tôi sẽ quay lại New World vào lần tới.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Quay trở lại khách sạn New World Saigon vẫn tốt và tuyệt vời như ngày nào. Dịch vụ rất tốt và các bạn nhân viên cũng rất dễ thương. Đặc biệt gửi lời cảm ơn đến các bạn Châu, Thuỷ, Diệu Vy đã phục vụ cả gia đình rất chu đáo. Hy vọng khách sạn sẽ ngày càng phát triển hơn nữa.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Món ăn nhà hàng rất tươi, ngon. Hai bạn nhân viên Trần Triều Nam và Mai Anh chăm sóc khách hàng nhiệt tình và chu đáo, để ý và quan tâm các yêu cầu của khách hàng. Lần đầu tiên được trải nghiệm nhà hàng mình cảm thấy rất ưng ý, nếu có cơ hội mình nhất định sẽ quay lại.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Mình đến đây với bạn bè, phòng rất đẹp, đặc biệt là club lounge khá chill, nhân viên nice. Đồ ăn ở 66 siêu ngon và phở landmark thì mình recommend các bạn ăn nhenTrải nghiệm rất tuyệt vời, mình đã đi nhiều lần và đây là làn mình vui nhất, chắc là đi với bạn",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"Điểm nhấn thu hút nhất của khách sạn bạn nghĩ là hồ bơi vô cực nhưng không với tôi là dịch vụ nơi đây. Từ lễ tân hay nhân viên buồng phòng tới các bạn thực tập ở đây đều rất tốt bụng và luôn hỗ trợ khách hàng khi họ cần, tôi đặc biệt ấn tượng với bạn Sam và bạn Tâm ở tiền sảnh!!! Chắc chắn sẽ quay lại đây nhiều lần, rất mong chờ!!!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Phòng 201 và 401Phòng rất đẹp, nhân viên tuyệt vời. Đặc việt là Kun ( Anh Khoa ) Hoàng, VI và Hà. Họ đã giúp tôi rất ngiều trong quá trình ở. Sẽ gặp lại các bạn lần sau 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍Love it 😁😁😁😁😁😁😁😁😁😁😁😁😁",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Không gian thoải mái, view dep, đồ ăn ngon đa dạng, hợp khẩu vị. Nhân viên đáng yêu, thân thiện, đặc biệt là Nhất, Vân, Hân, Trực. Nếu có cơ hội mình sẽ quay trở lại. Ddaay sẽ là một trải nghiệm tuyệt vời",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Nơi sang trọng để tiếp khách, bạn bè, phục vụ Yến và Tâm ân cần, tận tình,...Nơi phù hợp với gia đình buổi, sáng,  trưa và cả tối, thức ăn ngon, đặc biệt kem trang trí rất đẹp, Có thêm sách để đọc, có nhiều loại bánh ... giá cả rất hợp lý, chúc mọi người buổi tối hạnh phúc",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
"Phòng họp bố trí đẹp , gọn gàng đầy đủ trang thiết bị âm thanh máy chiếu ,phòng có view thành phố đẹp . Đồ ăn break và nhà hàng ngon miệng . Came ơn các bạn nhân viên Mỹ Linh , Thanh , Yến Nhi , My, Phương , Âu , Tính,Jade,Thanh Nhi đã phục vụ tận tình chu đáo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
"mình đi ăn trưa ở Mermaid vào cuối tuần cùng gia đình mình, có thể nói là món ăn ở đây cực kì ngon nha mọi người . Món ăn đa dạng và tươi . Nhan viên phục vụ chu đáo và có tấm rất take care bàn của mình , nhất là bạn Thịnh , bạn Nam . Mình và gia đình sẽ giới thiệu thêm cho bạn bè đến",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Đến và trải nghiệm buffet hải sản tại nhà hàng Parkview vào tối cuối tuần cùng hội bạn bè. Không gian thoải mái nhưng sang trọng. có band nhạc hát live trong khung giờ từ 7:00-9:00. các bạn nhân viên vui vẻ, thân thiện và niềm nở: Hương, Vỹ, Cường, Khánh và Tiến",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Chúng tôi ở lại đây 3 đêm và nó khá là đẹp. Các phòng đều sạch sẽ và dễ chịu. Các nhân viên đã rất hữu ích và tốt đẹp, họ đã cho chúng tôi đề xuất tuyệt vời cho nơi để trao đổi tiền và những thứ để xem ra trên đường phố. Great vị trí rất trung tâm, tất cả mọi thứ đã đi bộ khoảng cách với chúng tôi.",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Hôm nay mình có đi ăn tại buffet hải sản Mermaid, đồ ăn rất ngon đa dạng và phong phú. Món tôm hùm nướng theo mình nếu có nhiều option ngoài nướng phô mai thì chắc hẳn sẽ rất tuyệt vời. Còn lại thì không gian nhà hàng đỉnh nha mọi người nếu đi vào buổi tối sẽ cực chill nha. Nhân viên dễ thương nhanh nhẹn nhất là bạn Như , bạn Nam!",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Dịch vụ tốt , nhân viên tận tình vui vẻ , về buffet thì hơi ít món nhưng khẩu vị khá ổn , nói chung thì ok . Không gian rộng thoải mái . View khá đẹp . Cảm ơn bạn Nhung ( gro ) và team đã hỗ trợ gia đình trong quá trình lưu trú . ☺️☺️",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
"Nice view, nice food and very nice service. Một trải nghiệm đáng để thử, thưởng thức những món ăn ngon với view đẹp nhất tại Thành phố Hồ Chí Minh. Phục vụ rất chuyên nghiệp mang đến cảm giác dễ chịu khi dùng bữa.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Khách sạn đẹp, view tuyệt vời, có nhiều tiện ích, chỉ cần đi lên, xuống hoặc qua trung tâm thương mại kế bên là được. Nhân viên cũng dễ thương, hoà đồng, sẵn lòng giúp đỡ khách. Phòng đẹp, mới, giường nệm gối êm ái hệ thống điện hiện đại dễ sử dụng",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Chất lượng dịch vụ, đồ ăn tốt. Phòng rất sạch sẽ, view đẹp được hỗ trợ rất nhiệt tình,  nhân viên vệ sinh dọn dẹp sạch sẽ. Cảm thấy rất hài lòng.Nếu có dịp gia đình nhất định sẽ quay lại để trải nghiệm tiếp.",1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Có cây cảnh thoáng mát gối mềm êm ái Vị trí khách sạn ngay trung tâm thuận tiện đi lại . Không gian phòng thoáng màu Sơn xanh dịu mát sạch sẽ,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mình thật ngạc nhiên với cách phục vụ của các bạn nhân viên ở đây. Tất cả đều rất vui vẽ, niềm nở và thân thiện khách hàng. Ms Yến đến từng bàn hỏi thăm Trãi nghiệm khách hàng thể hiện sự quan tâm và thật chuyên nghiệp. Các bạn team chị cũng dễ thương Vỹ, Khánh, Cường, LuậtĐồ ăn ngon, bàn thoải mái. Chúng tôi sẽ đến nữa Cảm ơn rất nhiều.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Tôi dd có quyết định đúng đắn khi đặt bàn cho gia đình ăn tối tại La Vela. Tôi và gia đình đã có trải nghiệm tuyệt vời và rất ấn tượng với buffet Hải sản tại đây. Chúng tôi rất hài lòng với các bạn phục vụ tại đây nhất là ban Nam, bạn Minh. Các bạn thật sự rất tuyệt vời. Cảm ơn các bạn",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Không gian rộng rãi, hồ bơi thoáng đãng. Là một dịp thư giãn cuối tuần phù hợp với gia đình, bạn bè. Tham gia chơi trò chơi cuối tuần quá là sảng khoái. Nhân viên chuẩn bị nước rất ngon. Sảnh đón sang trọng. Các bạn trẻ vui vẻ. Hồ nước trong xanh mát lành. Có anh Phúc nhiệt tình hướng dẫn tạo ko khi vui nhộn. Hãy đến để trãi nghiệm",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"lavela khách sạn có hồ bơi vô cực siêu khủng nằm kế bên trung tâm quận 1, buổi sáng đầy đủ ngon nghẻ với view ngắm kênh Nhiêu Lộc siêu đẹp, tận hưởng ly cà phê chill ròi ăn sáng rất đã, sẽ quay lại ạ",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"Cảm ơn khách sạn đã trang trí cho bọn mình một căn phòng quá tuyệt, rất đẹp và mình rất ngạc nhiên khi thấy nó! Cảm ơn các bạn rất nhiều! Phòng rất đẹp và lớn, cơ sở vật chất hiện đại! Phòng tắm có bồn tắm lớn và có thể thư giãn sau một ngày dài đi chơi! Mình sẽ quay lại!!",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nhóm chúng tôi ăn tối và lưu trú tại Emm Hotel Sài Gòn, khách sạn rất hiện đại, nhân viên rất chuyên nghiệp và dễ thương, thức ăn rất ngon, trang trí rất bắt mắt, Sếp Thượng rất thân thiện và rất dễ thương,  chúng tôi sẽ quay lại đây khi có dịp, nhất định sẽ giới thiệu với bạn bè của mình.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Tôi có dùng bữa trưa cùng bạn tại nhà hàng buffet Hải sản. Món ăn đa dạng, thức uống ngon, không gian thì ấm cúng với tiếng đàn piano nhẹ nhàng, thư giãn. Không khỏi bất ngờ khi rất nhiều người lựa chọn đến đây bởi sự phục vụ nhiệt tình của nhân viên. Đặc biệt là Phương Trang và Huỳnh Như tận tình hướng dẫn. Hân nói chuyện rất nhẹ nhàng và tư vấn nhiệt tình. Cảm ơn nhà hàng",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"Món ăn ngon chất lượng, nhân viên Nam va Minh phục vụ tận tình chu đáo ,quá là tuyệt vời very nice .Không gian nhà hàng ngoài ban công cực chill và mát nha mọi người. Mọi người nên tới đây thử và cảm nhận ra sao",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"Phục vụ rất OK, nhân viên rất nhiệt tình chăm chút cho khách. Đặc biệt Sophie và Selena. Club Lounge bày trí rất đẹp mắt, thức ăn ngon, đậm vị. Tôi thường xuyên ở đây, mỗi năm 1-2 lần, Rất hài lòng về dịch vụ. Khách sạn rất tỉ mỉ trong mọi dịch vụ. So với các khách sạn trong khu vực, Hotel Nikko thực sự rất đáng trân trọng từ nhân viên đến quản lý! Cảm ơn!",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"Khách sạn sạch sẽ .Có Ăn sáng và ăn trưa tại nhà hàng Spice Viet, tại tầng 1 ngon và tiện lợi.Nhân viên nhiệt tình .Có phòng giặt ủi tại tầng 1, chỉ cần mua viên giặt là có thể sử dụng.Vị trí thuận tiện để di chuyển ra sân bay và trung tâm thành phố, Pink Church, Notre Dame, Independence Palace.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
"Whisper bar là nơi lý tưởng để hội họp và gặp mặt. Tôi đến để gặp mặt bạn bè và thư giãn. Đồ ăn và bánh ngọt rất ngon. Các bạn nhân viên rất nhiệt tình tư vấn và dễ thương, đặc biệt là các bạn Mai, Thanh Vi, Tuyết. Sẽ thường xuyên ghé và thưởng thức.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"Khung cảnh lãng mạn tuyệt đẹp từ trên cao, vô cùng thích hợp vs các cặp đôi, nhạc lãng mạn, thức ăn ngon, đặc biệt món salad trái cây vs sò điệp, tôm hùm vị phômai béo bá chấy, càng cua Tuyết ngọt ơi ngọt, cá hồi mềm béo ngậy ... đáng để thử 1 lần!",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
