review_clean,hotel#general,hotel#prices,hotel#design&features,hotel#cleanliness,hotel#comfort,hotel#quality,hotel#miscellaneous,rooms#general,rooms#prices,rooms#design&features,rooms#cleanliness,rooms#comfort,rooms#quality,rooms#miscellaneous,room_amenities#general,room_amenities#prices,room_amenities#design&features,room_amenities#cleanliness,room_amenities#comfort,room_amenities#quality,room_amenities#miscellaneous,facilities#general,facilities#prices,facilities#design&features,facilities#cleanliness,facilities#comfort,facilities#quality,facilities#miscellaneous,service#general,location#general,food&drinks#prices,food&drinks#quality,food&drinks#style&options,food&drinks#miscellaneous
những lúc tâm_trạng không vui đi uống 1 ly cocktails sẽ là lựa_chọn không tồi cảm_ơn mr long bartender đã làm cho tôi 1 ly nước có_thể lấy lại được tinh_thần nè các bạn nhân_viên rbar mr sơn ms linh ms hân rất thân_thiện và nhiệt_tình luôn có dịp tôi sẽ quay lại,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
cảm_ơn đội_ngũ nhân_viên residence club mang lại cho gia_đình tôi những trải_nghiệm tốt nhất đặc_biệt là vân duy việt anh diệu vy hân phục_vụ tận_tình món ăn ngon và đồ uống rất tuyệt gia_đình tôi sẽ quay lại new world vào lần tới,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
quay trở_lại khách_sạn new world saigon vẫn tốt và tuyệt_vời như ngày nào dịch_vụ rất tốt và các bạn nhân_viên cũng rất dễ_thương đặc_biệt gửi lời cảm_ơn đến các bạn châu thuỷ diệu vy đã phục_vụ cả gia_đình rất chu_đáo hy_vọng khách_sạn sẽ ngày_càng phát_triển hơn_nữa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
món ăn nhà_hàng rất tươi ngon hai bạn nhân_viên trần triều nam và mai anh chăm_sóc khách_hàng nhiệt_tình và chu_đáo để_ý và quan_tâm các yêu_cầu của khách_hàng lần đầu_tiên được trải_nghiệm nhà_hàng mình cảm_thấy rất ưng_ý nếu có cơ_hội mình nhất_định sẽ quay lại,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mình đến đây với bạn_bè phòng rất đẹp đặc_biệt là club lounge khá chill nhân_viên nice đồ_ăn ở 66 siêu ngon và phở landmark thì mình recommend các bạn ăn nhentrải nghiệm rất tuyệt_vời mình đã đi nhiều lần và đây là làn mình vui nhất chắc là đi với bạn,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
điểm nhấn thu_hút nhất của khách_sạn bạn nghĩ là hồ bơi vô_cực nhưng không với tôi là dịch_vụ nơi đây từ lễ_tân hay nhân_viên buồng phòng tới các bạn thực_tập ở đây đều rất tốt_bụng và luôn hỗ_trợ khách_hàng khi họ cần tôi đặc_biệt ấn_tượng với bạn sam và bạn tâm ở tiền_sảnh chắc_chắn sẽ quay lại đây nhiều lần rất mong_chờ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
phòng 201 và 401phòng rất đẹp nhân_viên tuyệt_vời đặc việt là kun anh khoa hoàng vi và hà họ đã giúp tôi rất ngiều trong quá_trình ở sẽ gặp lại các bạn lần sau love it,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
không_gian thoải_mái view dep đồ_ăn ngon đa_dạng hợp_khẩu vị nhân_viên đáng yêu thân_thiện đặc_biệt là nhất vân hân trực nếu có cơ_hội mình sẽ quay trở_lại ddaay sẽ là một trải_nghiệm tuyệt_vời,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
nơi sang_trọng để tiếp khách bạn_bè phục_vụ yến và tâm ân_cần tận_tình nơi phù_hợp với gia_đình buổi sáng trưa và cả tối thức_ăn ngon đặc_biệt kem trang_trí rất đẹp có thêm sách để đọc có nhiều loại bánh giá_cả rất hợp_lý chúc mọi người buổi tối hạnh_phúc,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0
phòng họp bố_trí đẹp gọn_gàng đầy_đủ trang_thiết_bị âm_thanh máy_chiếu phòng có view thành_phố đẹp đồ_ăn break và nhà_hàng ngon_miệng came ơn các bạn nhân_viên mỹ linh thanh yến nhi my phương âu tính jade thanh nhi đã phục_vụ tận_tình chu_đáo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0
